audio_file,shadow_id,session_id,text,pause,tremor,filler,repeat_word,pitch,intensity,jitter
drifted_anecdote.mp3,drifted_anecdote,5,about entire projects /pause_0.18s/ because it's simpler /tremor/ to tell /tremor/ a /tremor/ story /tremor/ than /tremor/ to read /tremor/ the commit /tremor/ history /pause_0.48s/ it /tremor/ gets messy,2,8,0,0,140.64736620152942,0.10007542028273314,0.025404682059220633
rehearsed_evasion.mp3,rehearsed_evasion,1,[001.18] as /pause_0.18s/ /tremor/ i always say /tremor/ /pause_0.21s/ i /tremor/ handle /tremor/ the full /tremor/ life cycle /pause_0.39s/ you /tremor/ know that,3,6,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,2,line /tremor/ right /pause_0.30s/ i design /tremor/ i implement /tremor/ i ship /pause_0.33s/ well /tremor/ /pause_0.33s/ i /tremor/ help design /tremor/ /pause_0.27s/,4,6,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,3,i implement /tremor/ certain /tremor/ components /tremor/ /pause_0.48s/ and /tremor/ i /tremor/ ship some features /tremor/ /pause_0.42s/ /pause_0.27s/ /pause_0.24s/,4,6,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,4,the /tremor/ life cycle /tremor/ is /tremor/ a /tremor/ team /tremor/ thing /pause_0.27s/ so when i say /tremor/ /pause_0.18s/ i /tremor/ handled /tremor/ it /tremor/,2,9,0,0,,,
rehearsed_evasion.mp3,rehearsed_evasion,5,i mean /tremor/ /pause_0.30s/ i /tremor/ handled /tremor/ part of it /pause_0.75s/ it's /tremor/ cleaner /tremor/ to tell it like that /tremor/ /pause_0.18s/,3,6,0,0,215.05448747760994,0.08817447812086147,0.0302622987927519
selfcorrect_contradictions.mp3,selfcorrect_contradictions,1,[001.92] right /pause_0.15s/ /pause_0.78s/ /tremor/ /pause_0.24s/ six /tremor/ years /tremor/ /pause_0.42s/ absolutely /tremor/ /pause_0.93s/,5,4,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,2,well /tremor/ /pause_0.51s/ six if /tremor/ you /tremor/ group /tremor/ internships /tremor/ and /tremor/ tiny consults /tremor/ together /tremor/ /pause_0.72s/ no /tremor/ actually /tremor/,2,10,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,3,three /tremor/ full /tremor/ time /pause_0.27s/ maybe /tremor/ four /tremor/ counting /tremor/ freelance /tremor/ /pause_1.23s/ so /tremor/ i led /tremor/ some /tremor/ sprints /tremor/ /pause_0.33s/,3,10,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,4,i mean i coordinated /tremor/ /pause_0.27s/ coordinated /tremor/ is /tremor/ different /tremor/ from /tremor/ led /tremor/ /pause_0.66s/ and [025.19] sometimes /tremor/,2,7,0,0,,,
selfcorrect_contradictions.mp3,selfcorrect_contradictions,5,i was the /tremor/ only one /tremor/ who merged the final branch /tremor/ /pause_0.93s/ sorry /tremor/ /pause_0.18s/ [030.41] that /tremor/ came /tremor/ out awkward /pause_0.63s/,3,6,0,0,105.54464893865406,0.13602327645100926,0.022014643571077623
